Unnamed: 0,Empresa,Retorno anual,Nombre,Sector,Industria
82,CCL,0.0623425116788345,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
83,CDAY,0.3162893966039066,Ceridian,Information Technology,Application Software
84,CDNS,0.1907877268134004,Cadence Design Systems,Information Technology,Application Software
85,CDW,0.3386163676196352,CDW,Information Technology,Technology Distributors
86,CE,0.2168022837760288,Celanese,Materials,Specialty Chemicals
87,CEG,0.7967141657763372,Constellation Energy,Utilities,Multi-Utilities
88,CF,0.3502324401871468,CF Industries,Materials,Fertilizers & Agricultural Chemicals
89,CFG,0.1484598188376751,Citizens Financial Group,Financials,Regional Banks
90,CHD,0.1962195007864751,Church & Dwight,Consumer Staples,Household Products
91,CHRW,0.1961373291425083,C.H. Robinson,Industrials,Air Freight & Logistics
92,CHTR,0.2394676182225268,Charter Communications,Communication Services,Cable & Satellite
93,CI,0.1848493976802458,Cigna,Health Care,Managed Health Care
94,CINF,0.1321648316107619,Cincinnati Financial,Financials,Property & Casualty Insurance
95,CL,0.0997325149804553,Colgate-Palmolive,Consumer Staples,Household Products
96,CLX,0.1037519359960055,Clorox,Consumer Staples,Household Products
97,CMA,0.0955771831717835,Comerica,Financials,Diversified Banks
98,CMCSA,0.1312460973351097,Comcast,Communication Services,Cable & Satellite
99,CME,0.2718677206612663,CME Group,Financials,Financial Exchanges & Data
100,CMG,0.333260243592163,Chipotle Mexican Grill,Consumer Discretionary,Restaurants
101,CMI,0.2573600068535553,Cummins,Industrials,Industrial Machinery & Supplies & Components
102,CMS,0.0872344610348598,CMS Energy,Utilities,Multi-Utilities
103,CNC,0.3064984872078644,Centene Corporation,Health Care,Managed Health Care
104,CNP,0.1157956923395768,CenterPoint Energy,Utilities,Multi-Utilities
105,COF,0.1727669781274774,Capital One,Financials,Consumer Finance
106,COO,0.232085774526743,CooperCompanies,Health Care,Health Care Supplies
107,COP,0.1744581285664246,ConocoPhillips,Energy,Oil & Gas Exploration & Production
108,COST,0.1779452122546805,Costco,Consumer Staples,Consumer Staples Merchandise Retail
109,CPB,0.0585613951714567,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats
110,CPRT,0.3008454350604423,Copart,Industrials,Diversified Support Services
111,CPT,0.1636968003906627,Camden Property Trust,Real Estate,Residential REITs
112,CRL,0.1681592242432115,Charles River Laboratories,Health Care,Life Sciences Tools & Services
113,CRM,0.3406514880654216,Salesforce,Information Technology,Application Software
114,CSCO,0.1233408203529273,Cisco,Information Technology,Communications Equipment
115,CSGP,0.296285736275407,CoStar Group,Industrials,Research & Consulting Services
116,CSX,0.1934550427664352,CSX,Industrials,Rail Transportation
117,CTAS,0.1660857213613542,Cintas,Industrials,Diversified Support Services
118,CTLT,0.2342373087712055,Catalent,Health Care,Pharmaceuticals
119,CTRA,0.246748562694548,Coterra,Energy,Oil & Gas Exploration & Production
120,CTSH,0.345510358932106,Cognizant,Information Technology,IT Consulting & Other Services
121,CTVA,0.2941296920482346,Corteva,Materials,Fertilizers & Agricultural Chemicals
122,CVS,0.1084865825180516,CVS Health,Health Care,Health Care Services
123,CVX,0.1397973361982671,Chevron Corporation,Energy,Integrated Oil & Gas
124,CZR,0.5841684658940831,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming
125,D,0.1063097627234899,Dominion Energy,Utilities,Electric Utilities
126,DAL,0.1902689211285997,Delta Air Lines,Industrials,Passenger Airlines
127,DD,0.120435951226806,DuPont,Materials,Specialty Chemicals
128,DE,0.2301881298042591,John Deere,Industrials,Agricultural & Farm Machinery
129,DFS,0.2118718362990272,Discover Financial,Financials,Consumer Finance
130,DG,0.2276844349802493,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail
131,DGX,0.2205742520687112,Quest Diagnostics,Health Care,Health Care Services
132,DHI,0.2616719640515501,D.R. Horton,Consumer Discretionary,Homebuilding
133,DHR,0.1839091222442137,Danaher Corporation,Health Care,Health Care Equipment
134,DIS,0.1132606608137691,Disney,Communication Services,Movies & Entertainment
135,DISH,0.1528301119395954,Dish Network,Communication Services,Cable & Satellite
136,DLR,0.231600757996444,Digital Realty,Real Estate,Data Center REITs
137,DLTR,0.2153011554886184,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail
138,DOV,0.1450201936061319,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components
139,DOW,0.1562468008471225,Dow Inc.,Materials,Commodity Chemicals
140,DPZ,0.314267275308153,Domino's,Consumer Discretionary,Restaurants
141,DRI,0.2198325531708278,Darden Restaurants,Consumer Discretionary,Restaurants
142,DTE,0.1191767053908614,DTE Energy,Utilities,Multi-Utilities
143,DUK,0.1016583724472466,Duke Energy,Utilities,Electric Utilities
144,DVA,0.1898890899446998,DaVita Inc.,Health Care,Health Care Facilities
145,DVN,0.1743701874390952,Devon Energy,Energy,Oil & Gas Exploration & Production
146,DXC,0.1053381793474839,DXC Technology,Information Technology,IT Consulting & Other Services
147,DXCM,0.430921502172463,Dexcom,Health Care,Health Care Equipment
148,EA,0.1988140913368292,Electronic Arts,Communication Services,Interactive Home Entertainment
149,EBAY,0.2352505445485431,eBay,Consumer Discretionary,Internet & Direct Marketing Retail
150,ECL,0.1437195714722277,Ecolab,Materials,Specialty Chemicals
151,ED,0.0946185969502684,Consolidated Edison,Utilities,Electric Utilities
152,EFX,0.1571566153113799,Equifax,Industrials,Research & Consulting Services
153,EIX,0.1321704505080063,Edison International,Utilities,Electric Utilities
154,EL,0.1705074919890805,Estée Lauder Companies (The),Consumer Staples,Personal Care Products
155,ELV,0.224056667828622,Elevance Health,Health Care,Managed Health Care
156,EMN,0.1476231417127269,Eastman Chemical Company,Materials,Diversified Chemicals
157,EMR,0.1181324949115136,Emerson Electric,Industrials,Electrical Components & Equipment
158,ENPH,0.8904203648899429,Enphase,Information Technology,Electronic Components
159,EOG,0.2561721923784958,EOG Resources,Energy,Oil & Gas Exploration & Production
160,EPAM,0.4469732849619003,EPAM Systems,Information Technology,IT Consulting & Other Services
161,EQIX,0.2514878514802512,Equinix,Real Estate,Data Center REITs
162,EQR,0.1552256036127286,Equity Residential,Real Estate,Residential REITs
163,EQT,0.1916088966122164,EQT,Energy,Oil & Gas Exploration & Production
164,ES,0.1272633443840365,Eversource,Utilities,Multi-Utilities
165,ESS,0.1707476203994897,Essex Property Trust,Real Estate,Residential REITs
166,ETN,0.1931025350771311,Eaton Corporation,Industrials,Electrical Components & Equipment
167,ETR,0.1268612767180537,Entergy,Utilities,Electric Utilities
