Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLV,XLY
2000-01-03,15.332271575927734,,14.67770004272461,11.641024589538574,18.90195655822754,42.1163330078125,13.171590805053711,,21.48796844482422,22.85463523864746
2000-01-04,15.184674263000488,,14.40141487121582,11.13213062286377,18.37974739074707,39.97965621948242,12.800679206848145,,21.000354766845703,22.167098999023438
2000-01-05,15.811984062194824,,14.781309127807617,11.044666290283203,18.29782485961914,39.38612747192383,13.02684497833252,,20.81195831298828,21.894454956054688
2000-01-06,16.217905044555664,,15.351152420043945,11.529701232910156,18.543581008911133,38.08038330078125,13.271098136901855,,20.878446578979492,22.143400192260742
2000-01-07,16.208677291870117,,15.515198707580566,11.720544815063477,19.250102996826172,38.7451286315918,14.112414360046387,,21.133342742919922,23.186552047729492
2000-01-10,16.153324127197266,,15.38568115234375,11.51379680633545,19.250102996826172,40.21705627441406,13.795794486999512,,23.294326782226562,23.068008422851562
2000-01-11,15.959588050842285,,15.402952194213867,11.322970390319824,19.004356384277344,39.0775146484375,13.795794486999512,,22.673736572265625,22.937612533569336
2000-01-12,15.728964805603027,,15.333877563476562,11.545610427856445,18.779081344604492,38.91130447387695,13.86816692352295,,22.296958923339844,22.807212829589844
2000-01-13,15.793529510498047,,15.601527214050293,11.895475387573242,19.13745880126953,39.267425537109375,13.940533638000488,,22.961862564086914,22.92577362060547
2000-01-14,15.682839393615723,,15.50656509399414,12.173779487609863,19.004356384277344,40.16958236694336,13.985769271850586,,22.76238441467285,22.866485595703125
2000-01-18,15.30459976196289,,15.69650936126709,11.76824951171875,18.983875274658203,40.383243560791016,13.750563621520996,,22.341270446777344,22.736093521118164
2000-01-19,15.00939655303955,,15.644704818725586,11.728494644165039,18.922435760498047,40.45448303222656,13.850066184997559,,22.87320899963379,22.688669204711914
2000-01-20,14.612715721130371,,15.644704818725586,11.51379680633545,18.7995662689209,40.69187927246094,13.6600923538208,,22.695903778076172,22.380468368530273
2000-01-21,14.677290916442871,,16.076396942138672,11.370677947998047,18.56405258178711,40.73936462402344,13.506302833557129,,22.65157127380371,21.918167114257812
2000-01-24,14.289824485778809,,15.50656509399414,11.16393756866455,18.031604766845703,39.40986633300781,13.117310523986816,,21.97556495666504,21.10023307800293
2000-01-25,14.02230167388916,,15.472020149230957,11.283214569091797,17.929224014282227,40.252662658691406,12.954477310180664,,22.13071632385254,21.23063087463379
2000-01-26,14.02230167388916,,15.230274200439453,11.704638481140137,18.07256317138672,38.935054779052734,13.072075843811035,,22.03097915649414,21.384721755981445
