Date,Open,High,Low,Close,Adj Close,Volume
1999-01-04,123.375,125.21875,121.71875,123.03125,79.46400451660156,9450400
1999-01-05,122.9375,124.875,122.9375,124.4375,80.37228393554688,8031000
1999-01-06,125.8125,127.75,125.75,127.4375,82.30992889404297,7737700
1999-01-07,126.375,127.21875,125.78125,126.8125,81.90624237060547,5504900
1999-01-08,128.1875,128.5,125.96875,127.75,82.51177978515625,6224400
1999-01-11,127.6875,127.6875,125.21875,126.53125,81.72457885742188,7578300
1999-01-12,126.21875,126.21875,123.75,124.25,80.25118255615234,7768800
1999-01-13,120.40625,125.125,120.375,123.375,79.68603515625,10810600
1999-01-14,123.625,123.90625,120.90625,121.21875,78.29332733154297,11400700
1999-01-15,122.375,124.78125,122.0625,124.375,80.33190155029297,7817700
1999-01-19,125.296875,125.625,123.5,125.1875,80.85668182373047,6535100
1999-01-20,126.09375,127.9375,125.03125,126.1875,81.5025634765625,6534400
1999-01-21,125.578125,125.84375,122.59375,122.84375,79.3428726196289,6937500
1999-01-22,122.125,123.84375,121.78125,122.5625,79.16124725341797,7522300
1999-01-25,123.28125,124.0,121.90625,123.8125,79.96858978271484,5700300
1999-01-26,124.125,126.0625,123.625,126.0625,81.42183685302734,6047000
1999-01-27,126.375,126.625,124.15625,124.59375,80.47320556640625,7399400
1999-01-28,125.25,126.96875,125.1875,126.6875,81.8255386352539,5961700
1999-01-29,127.34375,128.296875,125.40625,127.65625,82.45122528076172,6456800
1999-02-01,128.6875,128.6875,126.90625,126.90625,81.9668197631836,9426800
1999-02-02,127.078125,127.21875,124.765625,126.125,81.46219635009766,9194500
1999-02-03,125.6875,127.9375,125.65625,127.40625,82.28974151611328,10290700
1999-02-04,127.375,127.5,124.78125,125.5,81.05852508544922,7761100
1999-02-05,125.65625,125.65625,123.21875,124.0625,80.13005065917969,7516100
1999-02-08,125.09375,125.09375,123.34375,124.3125,80.29153442382812,8528400
1999-02-09,124.375,124.5,121.515625,121.53125,78.49517059326172,8985700
